title,link,desc
eff-bot's Daily Python URL,http://www.pythonware.com/daily/,"- Contains links to assorted resources from the Python universe, compiled by PythonWare."
O'Reilly Python Center,http://oreilly.com/python/,"- Features Python books, resources, news and articles."
Python Developer's Guide,https://www.python.org/dev/,"- Resources for reporting bugs, accessing the Python source tree with CVS and taking part in the development of Python."
Social Bug,http://win32com.goermezer.de/,"- Scripts, examples and news about Python programming for the Windows platform."
Core Python Programming,"http://www.pearsonhighered.com/educator/academic/product/0,,0130260363,00%2Ben-USS_01DBC.html","- By Wesley J. Chun; Prentice Hall PTR, 2001, ISBN 0130260363. For experienced developers to improve extant skills; professional level examples. Starts by introducing syntax, objects, error handling, functions, classes, built-ins. [Prentice Hall]"
Data Structures and Algorithms with Object-Oriented Design Patterns in Python,http://www.brpreiss.com/books/opus7/html/book.html,"- The primary goal of this book is to promote object-oriented design using Python and to illustrate the use of the emerging object-oriented design patterns.
A secondary goal of the book is to present mathematical tools just in time. Analysis techniques and proofs are presented as needed and in the proper context."
Dive Into Python 3,http://www.diveintopython.net/,"- By Mark Pilgrim, Guide to Python 3  and its differences from Python 2. Each chapter starts with a real code sample and explains it fully. Has a comprehensive appendix of all the syntactic and semantic changes in Python 3"
Foundations of Python Network Programming,http://rhodesmill.org/brandon/2011/foundations-of-python-network-programming/,"- This book covers a wide range of topics. From raw TCP and UDP to encryption with TSL, and then to HTTP, SMTP, POP, IMAP, and ssh. It gives you a good understanding of each field and how to do everything on the network with Python."
Free Python books,http://www.techbooksforfree.com/perlpython.shtml,- Free Python books and tutorials.
FreeTechBooks: Python Scripting Language,http://www.freetechbooks.com/python-f6.html,- Annotated list of free online books on Python scripting language. Topics range from beginner to advanced.
How to Think Like a Computer Scientist: Learning with Python,http://greenteapress.com/thinkpython/,"- By Allen B. Downey, Jeffrey Elkner, Chris Meyers; Green Tea Press, 2002, ISBN 0971677506. Teaches general principles of programming, via Python as subject language. Thorough, in-depth approach to many basic and intermediate programming topics. Full text online and downloads: HTML, PDF, PS, LaTeX. [Free, Green Tea Press]"
An Introduction to Python,http://www.network-theory.co.uk/python/intro/,"- By Guido van Rossum, Fred L. Drake, Jr.; Network Theory Ltd., 2003, ISBN 0954161769. Printed edition of official tutorial, for v2.x, from Python.org. [Network Theory, online]"
Learn to Program Using Python,http://www.freenetpages.co.uk/hp/alan.gauld/,"- Book by Alan Gauld with full text online. Introduction for those learning programming basics: terminology, concepts, methods to write code. Assumes no prior knowledge but basic computer skills."
Making Use of Python,http://www.wiley.com/WileyCDA/WileyTitle/productCd-0471219754.html,"- By Rashi Gupta; John Wiley and Sons, 2002, ISBN 0471219754. Covers language basics, use for CGI scripting, GUI development, network programming; shows why it is one of more sophisticated of popular scripting languages. [Wiley]"
Practical Python,http://hetland.org/writing/practical-python/,"- By Magnus Lie Hetland; Apress LP, 2002, ISBN 1590590066. Readable guide to ideas most vital to new users, from basics common to high level languages, to more specific aspects, to a series of 10 ever more complex programs. [Apress]"
Pro Python System Administration,http://sysadminpy.com/,"- By Rytis Sileika, ISBN13: 978-1-4302-2605-5, Uses real-world system administration examples like manage devices with SNMP and SOAP, build a distributed monitoring system, manage web applications and parse complex log files, monitor and manage MySQL databases."
Programming in Python 3 (Second Edition),http://www.qtrac.eu/py3book.html,- A Complete Introduction to the Python 3.
